Ticker Symbol,Period Ending,Accounts Payable,Accounts Receivable,Add'l income/expense items,After Tax ROE,Capital Expenditures,Cash Ratio,Cash and Cash Equivalents,Changes in Inventories,Common Stocks,Cost of Revenue,Current Ratio,Earnings Before Interest and Tax,Fixed Assets,Gross Margin,Gross Profit,Income Tax,Inventory,Investments,Liabilities,Net Borrowings,Net Cash Flow,Net Income,Net Income Applicable to Common Shareholders,Operating Income,Operating Margin,Profit Margin,Retained Earnings,Total Assets,Total Liabilities,Earnings Per Share
AAL,2012-12-31,3068000000.0,-222000000.0,-1961000000.0,23.0,-1888000000.0,53.0,1330000000.0,0.0,127000000.0,10499000000.0,78.0,-1813000000.0,13402000000.0,58.0,14356000000.0,-569000000.0,580000000.0,306000000.0,473000000.0,-1020000000.0,197000000.0,-1876000000.0,-1876000000.0,148000000.0,1.0,8.0,-9462000000.0,7072000000.0,16904000000.0,335000000.0
AAL,2013-12-31,4975000000.0,-93000000.0,-2723000000.0,67.0,-3114000000.0,75.0,2175000000.0,0.0,5000000.0,11019000000.0,104.0,-1324000000.0,19259000000.0,59.0,15724000000.0,-346000000.0,1012000000.0,-1181000000.0,-235000000.0,2208000000.0,660000000.0,-1834000000.0,-1834000000.0,1399000000.0,5.0,7.0,-11296000000.0,14323000000.0,42278000000.0,163022222.222
AAL,2014-12-31,4668000000.0,-160000000.0,-150000000.0,143.0,-5311000000.0,60.0,1768000000.0,0.0,7000000.0,15620000000.0,88.0,4099000000.0,23084000000.0,63.0,27030000000.0,330000000.0,1004000000.0,1799000000.0,-1026000000.0,170000000.0,-146000000.0,2882000000.0,2882000000.0,4249000000.0,10.0,7.0,-8562000000.0,11750000000.0,43225000000.0,716915422.886
AAL,2015-12-31,5102000000.0,352000000.0,-708000000.0,135.0,-6151000000.0,51.0,1085000000.0,0.0,6000000.0,11096000000.0,73.0,5496000000.0,27510000000.0,73.0,29894000000.0,-2994000000.0,863000000.0,443000000.0,-633000000.0,2856000000.0,-604000000.0,7610000000.0,7610000000.0,6204000000.0,15.0,19.0,-1230000000.0,9985000000.0,48415000000.0,668129938.543
AAP,2012-12-29,2409453000.0,-89482000.0,600000.0,32.0,-271182000.0,23.0,598111000.0,-260298000.0,7000.0,3106967000.0,124.0,657915000.0,1292547000.0,50.0,3098036000.0,236404000.0,2308609000.0,0.0,426323000.0,177445000.0,540210000.0,387670000.0,387670000.0,657315000.0,11.0,6.0,714900000.0,3184200000.0,4613814000.0,73283553.8752
AAP,2013-12-28,2609239000.0,-32428000.0,2698000.0,26.0,-195757000.0,40.0,1112471000.0,-203513000.0,7000.0,3241668000.0,144.0,663016000.0,1286034000.0,50.0,3252146000.0,234640000.0,2556557000.0,0.0,172715000.0,445679000.0,514360000.0,391758000.0,391758000.0,660318000.0,10.0,6.0,1089112000.0,3989384000.0,5564774000.0,73089179.1045
AAP,2015-01-03,3616038000.0,-48209000.0,3092000.0,25.0,-228446000.0,3.0,104671000.0,-227657000.0,7000.0,5390248000.0,130.0,854802000.0,1432030000.0,45.0,4453613000.0,287569000.0,3936955000.0,0.0,194223000.0,599619000.0,-1007800000.0,493825000.0,493825000.0,851710000.0,9.0,5.0,1565341000.0,4741040000.0,7962358000.0,73159259.2593
AAP,2016-01-02,3757085000.0,-21476000.0,-7484000.0,19.0,-234747000.0,2.0,90782000.0,-244096000.0,7000.0,5314246000.0,130.0,818296000.0,1434577000.0,45.0,4422772000.0,279490000.0,4174768000.0,0.0,174667000.0,-426322000.0,-13889000.0,473398000.0,473398000.0,825780000.0,8.0,5.0,2021077000.0,4940746000.0,8134565000.0,73395038.7597
AAPL,2013-09-28,36223000000.0,-1949000000.0,1156000000.0,30.0,-8165000000.0,93.0,14259000000.0,-973000000.0,19764000000.0,1.06606e+11,168.0,50155000000.0,16597000000.0,38.0,64304000000.0,13118000000.0,1764000000.0,-24042000000.0,8320000000.0,16896000000.0,3513000000.0,37037000000.0,37037000000.0,48999000000.0,29.0,22.0,1.04256e+11,73286000000.0,2.07e+11,925231076.692
AAPL,2014-09-27,48649000000.0,-6452000000.0,980000000.0,35.0,-9571000000.0,40.0,13844000000.0,-76000000.0,23313000000.0,1.12258e+11,108.0,53483000000.0,20624000000.0,39.0,70537000000.0,13973000000.0,2111000000.0,-9027000000.0,13408000000.0,18266000000.0,-415000000.0,39510000000.0,39510000000.0,52503000000.0,29.0,22.0,87152000000.0,68531000000.0,2.31839e+11,6087827426.81
